0.5,0.817,0
0.9892,0.8173,0.489
1.4763,0.8177,0.976
1.9614,0.818,1.461
2.4446,0.8184,1.945
2.9259,0.8187,2.426
3.4054,0.8191,2.905
3.8831,0.8194,3.383
4.3592,0.8198,3.859
4.8336,0.8201,4.334
5.3064,0.8205,4.806
5.7778,0.8208,5.278
6.2476,0.8212,5.748
6.7161,0.8215,6.216
7.1832,0.8219,6.683
7.649,0.8222,7.149
8.1136,0.8226,7.614
8.577,0.8229,8.077
9.0393,0.8233,8.539
9.5006,0.8236,9.001
9.9609,0.824,9.461
10.4202,0.8243,9.92
10.8787,0.8247,10.379
11.3363,0.825,10.836
11.7932,0.8254,11.293
12.2494,0.8257,11.749
12.7049,0.8261,12.205
13.1598,0.8264,12.66
13.6143,0.8268,13.114
14.0682,0.8271,13.568
14.5218,0.8275,14.022
14.975,0.8278,14.475
15.4279,0.8282,14.928
15.8806,0.8285,15.381
16.3331,0.8289,15.833
16.7855,0.8292,16.286
17.2378,0.8296,16.738
17.6902,0.8299,17.19
18.1426,0.8303,17.643
18.5951,0.8306,18.095
19.0478,0.831,18.548
19.5007,0.8313,19.001
19.9538,0.8317,19.454
20.4072,0.832,19.907
20.8607,0.8324,20.361
21.3145,0.8327,20.815
21.7683,0.8331,21.268
22.2224,0.8334,21.722
22.6766,0.8338,22.177
23.1309,0.8341,22.631
23.5853,0.8345,23.085
24.0398,0.8348,23.54
24.4943,0.8352,23.994
24.9489,0.8355,24.449
25.4036,0.8359,24.904
25.8583,0.8362,25.358
26.313,0.8366,25.813
26.7677,0.8369,26.268
27.2223,0.8373,26.722
27.677,0.8376,27.177
28.1316,0.838,27.632
28.5861,0.8383,28.086
29.0406,0.8387,28.541
29.495,0.839,28.995
29.9493,0.8394,29.449
30.4036,0.8397,29.904
30.8578,0.8401,30.358
31.312,0.8404,30.812
31.7662,0.8408,31.266
32.2203,0.8411,31.72
32.6744,0.8415,32.174
33.1285,0.8418,32.629
33.5825,0.8422,33.083
34.0365,0.8425,33.537
34.4905,0.8429,33.991
34.9445,0.8432,34.445
35.3985,0.8436,34.899
35.8524,0.8439,35.352
36.3064,0.8443,35.806
36.7604,0.8446,36.26
37.2143,0.845,36.714
37.6683,0.8453,37.168
38.1223,0.8457,37.622
38.5763,0.846,38.076
39.0303,0.8464,38.53
39.4843,0.8467,38.984
39.9383,0.8471,39.438
40.3924,0.8474,39.892
40.8464,0.8478,40.346
41.3004,0.8481,40.8
41.7544,0.8485,41.254
42.2085,0.8488,41.709
42.6625,0.8492,42.163
43.1166,0.8495,42.617
43.5706,0.8499,43.071
44.0246,0.8502,43.525
44.4787,0.8506,43.979
44.9327,0.8509,44.433
45.3867,0.8513,44.887
45.8408,0.8516,45.341
46.2948,0.852,45.795
46.7488,0.8523,46.249
47.2028,0.8527,46.703
47.6568,0.853,47.157
48.1108,0.8534,47.611
48.5648,0.8537,48.065
49.0188,0.8541,48.519
49.4728,0.8544,48.973
49.9268,0.8548,49.427
50.3807,0.8551,49.881
50.8347,0.8555,50.335
51.2887,0.8558,50.789
51.7426,0.8562,51.243
52.1966,0.8565,51.697
52.6505,0.8569,52.151
53.1045,0.8572,52.605
53.5584,0.8576,53.058
54.0124,0.8579,53.512
54.4663,0.8583,53.966
54.9203,0.8586,54.42
55.3742,0.859,54.874
55.8281,0.8593,55.328
56.2821,0.8597,55.782
56.736,0.86,56.236
57.1899,0.8604,56.69
57.6438,0.8607,57.144
58.0977,0.8611,57.598
58.5517,0.8614,58.052
59.0056,0.8618,58.506
59.4595,0.8621,58.96
59.9134,0.8625,59.413
60.3673,0.8628,59.867
60.8212,0.8632,60.321
61.2751,0.8635,60.775
61.729,0.8639,61.229
62.1829,0.8642,61.683
62.6367,0.8646,62.137
63.0906,0.8649,62.591
63.5445,0.8653,63.045
63.9984,0.8656,63.498
64.4522,0.866,63.952
64.9061,0.8663,64.406
65.36,0.8667,64.86
65.8138,0.867,65.314
66.2677,0.8674,65.768
66.7215,0.8677,66.222
67.1754,0.8681,66.675
67.6292,0.8684,67.129
68.0831,0.8688,67.583
68.5369,0.8691,68.037
68.9907,0.8695,68.491
69.4446,0.8698,68.945
69.8984,0.8702,69.398
70.3522,0.8705,69.852
70.8061,0.8709,70.306
71.2599,0.8712,70.76
71.7137,0.8716,71.214
72.1675,0.8719,71.668
72.6214,0.8723,72.121
73.0752,0.8726,72.575
73.529,0.873,73.029
73.9828,0.8733,73.483
74.4366,0.8737,73.937
74.8904,0.874,74.39
75.3442,0.8744,74.844
75.798,0.8747,75.298
76.2518,0.8751,75.752
